"Test Number"|"CAS Number"|"Chemical Name"|"Chemical Grade"|"Chemical Analysis"|"Test Method"|"Chemical Purity Mean Op"|"Chemical Purity Mean(%)"|"Chemical Purity Min Op"|"Chemical Purity Min(%)"|"Chemical Purity Max Op"|"Chemical Purity Max(%)"|"Species Scientific Name"|"Species Group"|"Organism Lifestage"|"Organism Age Mean Op"|"Organism Age Mean"|"Organism Age Min Op"|"Organism Age Min"|"Organism Age Max Op"|"Organism Age Max"|"Age Units"|"Exposure Type"|"Media Type"|"Test Location"|"Number of Doses"|"Conc 1 Type (Standardized)"|"Conc 1 Mean Op (Standardized)"|"Conc 1 Mean (Standardized)"|"Conc 1 Min Op (Standardized)"|"Conc 1 Min (Standardized)"|"Conc 1 Max Op (Standardized)"|"Conc 1 Max (Standardized)"|"Conc 1 Units (Standardized)"|"Conc 2 Type (Standardized)"|"Conc 2 Mean Op (Standardized)"|"Conc 2 Mean (Standardized)"|"Conc 2 Min Op (Standardized)"|"Conc Min 2 (Standardized)"|"Conc 2 Max Op (Standardized)"|"Conc 2 Max (Standardized)"|"Conc 2 Units (Standardized)"|"Conc 3 Type (Standardized)"|"Conc 3 Mean Op (Standardized)"|"Conc 3 Mean (Standardized)"|"Conc 3 Min Op (Standardized)"|"Conc Min 3 (Standardized)"|"Conc 3 Max Op (Standardized)"|"Conc 3 Max (Standardized)"|"Conc 3 Units (Standardized)"|Effect|"Effect Measurement"|Endpoint|"Response Site"|"Observed Duration Mean Op (Days)"|"Observed Duration Mean (Days)"|"Observed Duration Min Op (Days)"|"Observed Duration Min (Days)"|"Observed Duration Max Op (Days)"|"Observed Duration Max (Days)"|"Observed Duration Units (Days)"|"Test Type"|"Temperature Mean Op"|"Temperature Mean"|"Temperature Min Op"|"Temperature Min"|"Temperature Max Op"|"Temperature Max"|"Temperature Units"|"Hardness Mean Op"|"Hardness Mean"|"Hardness Min Op"|"Hardness Min"|"Hardness Max Op"|"Hardness Max"|"Hardness Units"|"Alkalinity Mean Op"|"Alkalinity Mean"|"Alkalinity Min Op"|"Alkalinity Min"|"Alkalinity Max Op"|"Alkalinity Max"|"Alkalinity Units"|"pH Mean Op"|"pH Mean"|"pH Min Op"|"pH Min"|"pH Max Op"|"pH Max"|"Author"|"Reference Number"|"Title"|"Source"|"Publication Year"|
1069656|50293|1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]|Standard|Unmeasured|Not coded|>|99||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported||12||NR||NR|Hour(s)|Renewal|Fresh water|Lab|NR|Active ingredient||0.00061||0.00058||0.00064|AI mg/L|||||||||||||||||Reproduction|Reproduction, general|EC50|Not reported||14||NR||NR|Day(s)|Not coded|||||||NR||||320*||340*|mg/L CaCO3|||||||NR||7.6*|||||Maki,A.W., and H.E. Johnson|5525|Effects of PCB (Aroclor 1254) and p,p'-DDT on Production and Survival of Daphnia magna Strauss|Bull. Environ. Contam. Toxicol.13(4): 412-416|1975|
1040562|50293|1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]|Technical grade, technical product, technical formulation|Unmeasured|Not coded||99||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Juvenile|<|24||NR||NR|Hour(s)|Static|Fresh water|Lab|NR|Active ingredient||0.00123||NR||NR|AI mg/L|||||||||||||||||Intoxication|Immobile|EC50*|Not reported||2||NR||NR|Day(s)|Not coded||25|||||C|||||||NR|||||||NR|||||||Stratton,G.W., and J. Giles|2554|Importance of Bioassay Volume in Toxicity Tests Using Algae and Aquatic Invertebrates|Bull. Environ. Contam. Toxicol.44(2): 420-427|1990|
1133877|50293|1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]|Not reported|Unmeasured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Juvenile||NR||6||24|Hour(s)|Static|Fresh water|Lab|NR|Formulation||0.00099||0.00066||0.00149|AI mg/L|||||||||||||||||Intoxication|Immobile|EC50|Not reported||1||NR||NR|Day(s)|Not coded||20.5|||||C||50/||/||/|mg/L CaCO3|||||||NR||/||7.8/||7.9/|Berglind,R., and G. Dave|10871|Acute Toxicity of Chromate, DDT, PCP, TPBS, and Zinc to Daphnia magna Cultured in Hard and Soft Water|Bull. Environ. Contam. Toxicol.33(1): 63-68|1984|
1032902|50293|1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]|Technical grade, technical product, technical formulation|Unmeasured|Not coded||99||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported|<|24||NR||NR|Hour(s)|Static|Fresh water|Lab|NR|Active ingredient||0.0011||0.001||0.0013|AI mg/L|||||||||||||||||Intoxication|Immobile|EC50|Not reported||2||NR||NR|Day(s)|Not coded||20|||||C||192|||||mg/L CaCO3||138|||||mg/L CaCO3||8.2|||||Randall,W.F., W.H. Dennis, and M.C. Warner|2076|Acute Toxicity of Dechlorinated DDT, Chlordane and Lindane to Bluegill (Lepomis macrochirus) and Daphnia magna|Bull. Environ. Contam. Toxicol.21(6): 849-854|1979|
1069759|50293|1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]|Not reported|Unmeasured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Adult||NR||2||26|Hour(s)|Static|Fresh water|Lab|NR|Formulation||0.0065||NR||NR|AI mg/L|||||||||||||||||Intoxication|Immobile|EC50|Not reported||1||NR||NR|Day(s)|Not coded|||||||NR|||||||NR|||||||NR|||||||Rawash,I.A., I.A. Gaaboub, F.M. El-Gayar, and A.Y. El-Shazli|5539|Standard Curves for Nuvacron, Malathion, Sevin, DDT and Kelthane Tested Against the Mosquito Culex pipiens L. and the Microcrustacean Daphnia magna Straus|Toxicology4(2): 133-144|1975|
1133873|50293|1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]|Not reported|Unmeasured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Juvenile||NR||6||24|Hour(s)|Static|Fresh water|Lab|NR|Formulation||0.51||0.23||1.12|AI mg/L|||||||||||||||||Intoxication|Immobile|EC50|Not reported||1||NR||NR|Day(s)|Not coded||20.5|||||C||250/||/||/|mg/L CaCO3|||||||NR||/||7.8/||8.2/|Berglind,R., and G. Dave|10871|Acute Toxicity of Chromate, DDT, PCP, TPBS, and Zinc to Daphnia magna Cultured in Hard and Soft Water|Bull. Environ. Contam. Toxicol.33(1): 63-68|1984|
1069655|50293|1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]|Standard|Unmeasured|Not coded|>|99||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported||12||NR||NR|Hour(s)|Renewal|Fresh water|Lab|NR|Active ingredient||0.0005||0.00048||0.00052|AI mg/L|||||||||||||||||Reproduction|Reproduction, general|EC50|Not reported||14||NR||NR|Day(s)|Not coded|||||||NR||||320*||340*|mg/L CaCO3|||||||NR||7.6*|||||Maki,A.W., and H.E. Johnson|5525|Effects of PCB (Aroclor 1254) and p,p'-DDT on Production and Survival of Daphnia magna Strauss|Bull. Environ. Contam. Toxicol.13(4): 412-416|1975|
1118334|50293|1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]|Not reported|Measured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported||NR||NR||NR|Not reported|Not reported|Fresh water|Lab|NR|Active ingredient||0.009||NR||NR|AI mg/L|||||||||||||||||Intoxication|Immobile|EC50|Not reported||1||NR||NR|Day(s)|Not coded|||||||NR|||||||NR|||||||NR||7|||||Bazin,C., P. Chambon, M. Bonnefille, and G. Larbaigt|9196|Compared Sensitivity of Luminescent Marine Bacteria (Photobacterium phosphoreum) and Daphnia Bioassays (Comparaison des Sensibilites du Test de Luminescence Bacerienne (Photobacterium phosphoreum) et du Test Daphnie (Da|Rev. Fr. Sci. Eau6:403-413|1987|
1133880|50293|1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]|Not reported|Unmeasured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Juvenile||NR||6||24|Hour(s)|Static|Fresh water|Lab|NR|Formulation||0.042||0.032||0.056|AI mg/L|||||||||||||||||Intoxication|Immobile|EC50|Not reported||1||NR||NR|Day(s)|Not coded||20.5|||||C||300|||||mg/L CaCO3|||||||NR||||8.4||8.5|Berglind,R., and G. Dave|10871|Acute Toxicity of Chromate, DDT, PCP, TPBS, and Zinc to Daphnia magna Cultured in Hard and Soft Water|Bull. Environ. Contam. Toxicol.33(1): 63-68|1984|
1040565|50293|1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]|Technical grade, technical product, technical formulation|Unmeasured|Not coded||99||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Juvenile|<|24||NR||NR|Hour(s)|Static|Fresh water|Lab|NR|Active ingredient||0.00113||NR||NR|AI mg/L|||||||||||||||||Intoxication|Immobile|EC50*|Not reported||2||NR||NR|Day(s)|Not coded||25|||||C|||||||NR|||||||NR|||||||Stratton,G.W., and J. Giles|2554|Importance of Bioassay Volume in Toxicity Tests Using Algae and Aquatic Invertebrates|Bull. Environ. Contam. Toxicol.44(2): 420-427|1990|
1040564|50293|1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]|Technical grade, technical product, technical formulation|Unmeasured|Not coded||99||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Juvenile|<|24||NR||NR|Hour(s)|Static|Fresh water|Lab|NR|Active ingredient||0.0012||NR||NR|AI mg/L|||||||||||||||||Intoxication|Immobile|EC50*|Not reported||2||NR||NR|Day(s)|Not coded||25|||||C|||||||NR|||||||NR|||||||Stratton,G.W., and J. Giles|2554|Importance of Bioassay Volume in Toxicity Tests Using Algae and Aquatic Invertebrates|Bull. Environ. Contam. Toxicol.44(2): 420-427|1990|
1040563|50293|1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]|Technical grade, technical product, technical formulation|Unmeasured|Not coded||95||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Juvenile|<|24||NR||NR|Hour(s)|Static|Fresh water|Lab|NR|Active ingredient||0.00108||NR||NR|AI mg/L|||||||||||||||||Intoxication|Immobile|EC50*|Not reported||2||NR||NR|Day(s)|Not coded||25|||||C|||||||NR|||||||NR|||||||Stratton,G.W., and J. Giles|2554|Importance of Bioassay Volume in Toxicity Tests Using Algae and Aquatic Invertebrates|Bull. Environ. Contam. Toxicol.44(2): 420-427|1990|
1069657|50293|1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]|Standard|Unmeasured|Not coded|>|99||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported||12||NR||NR|Hour(s)|Renewal|Fresh water|Lab|NR|Active ingredient||0.00075||0.00071||0.00079|AI mg/L|||||||||||||||||Reproduction|Reproduction, general|EC50|Not reported||14||NR||NR|Day(s)|Not coded|||||||NR||||320*||340*|mg/L CaCO3|||||||NR||7.6*|||||Maki,A.W., and H.E. Johnson|5525|Effects of PCB (Aroclor 1254) and p,p'-DDT on Production and Survival of Daphnia magna Strauss|Bull. Environ. Contam. Toxicol.13(4): 412-416|1975|
1133881|50293|1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]|Not reported|Unmeasured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Juvenile||NR||6||24|Hour(s)|Static|Fresh water|Lab|NR|Formulation||0.0005||0.00041||0.00061|AI mg/L|||||||||||||||||Intoxication|Immobile|EC50|Not reported||1||NR||NR|Day(s)|Not coded||20.5|||||C||300|||||mg/L CaCO3|||||||NR||||8.4||8.5|Berglind,R., and G. Dave|10871|Acute Toxicity of Chromate, DDT, PCP, TPBS, and Zinc to Daphnia magna Cultured in Hard and Soft Water|Bull. Environ. Contam. Toxicol.33(1): 63-68|1984|
1133875|50293|1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]|Not reported|Unmeasured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Juvenile||NR||6||24|Hour(s)|Static|Fresh water|Lab|NR|Formulation||0.071||0.041||0.13|AI mg/L|||||||||||||||||Intoxication|Immobile|EC50|Not reported||1||NR||NR|Day(s)|Not coded||20.5|||||C||250/||/||/|mg/L CaCO3|||||||NR||/||7.8/||8.2/|Berglind,R., and G. Dave|10871|Acute Toxicity of Chromate, DDT, PCP, TPBS, and Zinc to Daphnia magna Cultured in Hard and Soft Water|Bull. Environ. Contam. Toxicol.33(1): 63-68|1984|
1188997|50293|1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]|Not reported|Not reported|Not coded||3||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported||NR||NR||NR|Not reported|Not reported|Fresh water|Lab|NR|Formulation||125||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||2||NR||NR|Day(s)|Not coded||22|||||C|||||||NR|||||||NR||||7.1||7.4|Malacea,I.|16933|Contribution to Study of Detox and Heclotox Insecticides Toxic Action on Certain Fish Species and on Daphnia|Stud. Prot. Calitatii Apelor8:95-133|1967|
1176404|50293|1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]|Not reported|Unmeasured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported||NR||2||26|Hour(s)|Static|Fresh water|Lab|NR|Formulation||0.19||0.049||0.7|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||1||NR||NR|Day(s)|Not coded||27|||||C|||||||NR|||||||NR|||||||Gaaboub,I.A., I.A. Rawash, H.K. Badawy, and N.A. Bayomi|15292|Comparison Between the Use of Gambusia affinis Baird and Girard, Mosquito Larvae of Culex pipiens L. and the Microcrustacean Daphnia magna Straus|Proc. 4th Arab Pestic. Conf. Tanta Univ.1:213-227|1981|
1189008|50293|1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]|Not reported|Not reported|Not coded||3||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported||NR||NR||NR|Not reported|Not reported|Fresh water|Lab|NR|Formulation||0.002||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||2||NR||NR|Day(s)|Not coded||21.5|||||C|||||||NR|||||||NR||||7.1||7.4|Malacea,I.|16933|Contribution to Study of Detox and Heclotox Insecticides Toxic Action on Certain Fish Species and on Daphnia|Stud. Prot. Calitatii Apelor8:95-133|1967|
1151741|50293|1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]|Not reported|Unmeasured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported||NR||NR||NR|Not reported|Static|Fresh water|Lab|NR|Formulation||0.00266||0.00196||0.0036|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||2||NR||NR|Day(s)|Not coded||17|||||C||50|||||mg/L CaCO3||25|||||mg/L CaCO3||||7.52||7.90|Vilkas,A.|13007|Acute Toxicity of Diazinon Technical to the Water Flea, Daphnia magna Straus|U.S.EPA-OPP Registration Standard:|1976|
1188981|50293|1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]|Not reported|Not reported|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported||NR||NR||NR|Not reported|Not reported|Fresh water|Lab|NR|Formulation||0.003||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||2||NR||NR|Day(s)|Not coded||20.5|||||C|||||||NR|||||||NR||||7.1||7.4|Malacea,I.|16933|Contribution to Study of Detox and Heclotox Insecticides Toxic Action on Certain Fish Species and on Daphnia|Stud. Prot. Calitatii Apelor8:95-133|1967|
2233781|50293|1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]|Not reported|Unmeasured|Not reported||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported||NR||NR||NR|Not reported|Aquatic - not reported|Fresh water|Lab|NR|Formulation||0.00266||0.00196||0.0036|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||2||NR||NR|Day(s)|Not reported|||||||NR|||||||NR|||||||NR|||||||Great Lakes Chemical Corp.|180436|Acute Toxicity of FMBP4A (Tetrabromobisphenol A) to the Water Flea Daphnia magna Straus|EPA/OTS 878216112:11 p.|1985|
1188998|50293|1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]|Not reported|Not reported|Not coded||3||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported||NR||NR||NR|Not reported|Not reported|Fresh water|Lab|NR|Formulation||4.37||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||2||NR||NR|Day(s)|Not coded||22|||||C|||||||NR|||||||NR||||7.1||7.4|Malacea,I.|16933|Contribution to Study of Detox and Heclotox Insecticides Toxic Action on Certain Fish Species and on Daphnia|Stud. Prot. Calitatii Apelor8:95-133|1967|
1326896|50293|1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]|Technical grade, technical product, technical formulation|Unmeasured|Not coded||99||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Neonate|<|24||NR||NR|Hour(s)|Static|Fresh water|Lab|NR|Active ingredient||0.0019||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||2||NR||NR|Day(s)|Not coded||25*|||||C||||80*||100*|mg/L CaCO3||||57*||64*|mg/L CaCO3||||7.9*||8.3*|Brausch,J.M., and P.N. Smith|117583|Development of Resistance to Cyfluthrin and Naphthalene Among Daphnia magna|Ecotoxicology18(5): 600-609|2009|
