,index,Test Number,CAS Number,Chemical Name,Test Method,Species Scientific Name,Organism Lifestage,Organism Age Mean,Organism Age Min,Organism Age Max,Age Units,Exposure Type,Media Type,Test Location,Number of Doses,Conc 1 Type (Standardized),Conc 1 Mean (Standardized),Conc 1 Min (Standardized),Conc 1 Max (Standardized),Conc 1 Units (Standardized),Effect,Effect Measurement,Endpoint,Observed Duration Mean (Days),Observed Duration Min (Days),Observed Duration Max (Days),Observed Duration Units (Days),Test Type,Temperature Mean,Temperature Min,Temperature Max,Temperature Units,Hardness Mean,Hardness Min,Hardness Max,Hardness Units,pH Mean,pH Min,pH Max,Author,Title,Publication Year
19,1555,1275714,7646857,Zinc chloride (ZnCl2),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,6-8,Total,1.8,NR,NR,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,25,,,C,93,,,mg/L,,7,8,"Mohammed,A.","Comparative Sensitivities of the Tropical Cladoceran, Ceriodaphnia rigaudii and the Temperate Species Daphnia magna to Seven Toxicants",2007
20,1557,1273535,7646857,Zinc chloride (ZnCl2),Not coded,Daphnia magna,Neonate,4,NR,NR,Day(s),Static,Fresh water,Lab,10,Total,8.2316744,7.0596148,9.5945344,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,20,,,C,2.5*,,,mmol/L CaCO3,7*,,,"Canli,M.",Dietary and Water-Borne Zn Exposures Affect Energy Reserves and Subsequent Zn Tolerance of Daphnia magna,2005
21,1558,1245779,7646857,Zinc chloride (ZnCl2),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,6-7,Total,1.70902644,1.4855174,1.839861,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,20*,,,C,,,,NR,7.4,,,"Shaw,J.R., T.D. Dempsey, C.Y. Chen, J.W. Hamilton, and C.L. Folt","Comparative Toxicity of Cadmium, Zinc, and Mixtures of Cadmium and Zinc to Daphnids",2006
22,1559,1273262,7646857,Zinc chloride (ZnCl2),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Renewal,Fresh water,Lab,6,Total,0.177,0.169,0.184,AI mg/L,Mortality,Mortality,LC50,14.0,NR,NR,Day(s),Not coded,20,,,C,,,,NR,7.6,,,"Muyssen,B.T.A., and C.R. Janssen",Age and Exposure Duration as a Factor Influencing Cu and Zn Toxicity Toward Daphnia magna,2007
23,1560,1273532,7646857,Zinc chloride (ZnCl2),Not coded,Daphnia magna,Neonate,4,NR,NR,Day(s),Static,Fresh water,Lab,10,Total,6.2964132,5.3969256,7.6729018,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,20,,,C,2.5*,,,mmol/L CaCO3,7*,,,"Canli,M.",Dietary and Water-Borne Zn Exposures Affect Energy Reserves and Subsequent Zn Tolerance of Daphnia magna,2005
24,1562,1273531,7646857,Zinc chloride (ZnCl2),Not coded,Daphnia magna,Neonate,4,NR,NR,Day(s),Static,Fresh water,Lab,10,Total,6.5689852,5.2061252,7.6047588,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,20,,,C,2.5*,,,mmol/L CaCO3,7*,,,"Canli,M.",Dietary and Water-Borne Zn Exposures Affect Energy Reserves and Subsequent Zn Tolerance of Daphnia magna,2005
25,1563,1273536,7646857,Zinc chloride (ZnCl2),Not coded,Daphnia magna,Neonate,4,NR,NR,Day(s),Static,Fresh water,Lab,10,Total,8.2861888,7.3321868,9.3764768,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,20,,,C,2.5*,,,mmol/L CaCO3,7*,,,"Canli,M.",Dietary and Water-Borne Zn Exposures Affect Energy Reserves and Subsequent Zn Tolerance of Daphnia magna,2005
26,1565,1245780,7646857,Zinc chloride (ZnCl2),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,6-7,Total,1.94616408,1.8126038,2.36319924,AI mg/L,Mortality,Mortality,LC85,2.0,NR,NR,Day(s),Not coded,20*,,,C,,,,NR,7.4,,,"Shaw,J.R., T.D. Dempsey, C.Y. Chen, J.W. Hamilton, and C.L. Folt","Comparative Toxicity of Cadmium, Zinc, and Mixtures of Cadmium and Zinc to Daphnids",2006
28,1458,1282525,7646857,Zinc chloride (ZnCl2),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7,Total,0.4,NR,NR,AI mg/L,Mortality,Mortality,EC50,2.0,NR,NR,Day(s),Not coded,21,,,C,,,,NR,,,,"Oda,S., N. Tatarazako, H. Watanabe, M. Morita, and T. Iguchi",Genetic Differences in the Production of Male Neonates in Daphnia magna Exposed to Juvenile Hormone Analogs,2006
41,1491,1278809,7646857,Zinc chloride (ZnCl2),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7,Total,0.59,NR,NR,AI mg/L,Mortality,Mortality,EC50,2.0,NR,NR,Day(s),Not coded,21,,,C,,,,NR,,,,"Oda,S., N. Tatarazako, H. Watanabe, M. Morita, and T. Iguchi",Genetic Differences in the Production of Male Neonates in Daphnia magna Exposed to Juvenile Hormone Analogs,2006
42,1554,1273292,7646857,Zinc chloride (ZnCl2),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7-19,Dissolved,0.21,NR,NR,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,,,,NR,,,,NR,,7.5,9.1,"Erten-Unal,M., B.G. Wixson, N. Gale, and J.L. Pitt","Evaluation of Toxicity, Bioavailability and Speciation of Lead, Zinc and Cadmium in Mine/Mill Wastewaters",1998
43,1550,1273264,7646857,Zinc chloride (ZnCl2),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Renewal,Fresh water,Lab,6,Total,0.164,0.156,0.171,AI mg/L,Mortality,Mortality,LC50,21.0,NR,NR,Day(s),Not coded,20,,,C,,,,NR,7.6,,,"Muyssen,B.T.A., and C.R. Janssen",Age and Exposure Duration as a Factor Influencing Cu and Zn Toxicity Toward Daphnia magna,2007
45,1549,1273866,7646857,Zinc chloride (ZnCl2),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,9,Total,2.3,2.1,2.5,AI mg/L,Mortality,Mortality,LC50,1.0,NR,NR,Day(s),Not coded,20*,,,C,,,,NR,,,,"Diamantino,T.C., E. Almeida, A.M.V.M. Soares, and L. Guilhermino",Lactate Dehydrogenase Activity as an Effect Criterion in Toxicity Tests with Daphnia magna Straus,2001
48,1496,1282524,7646857,Zinc chloride (ZnCl2),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7,Total,0.16,NR,NR,AI mg/L,Mortality,Mortality,EC50,2.0,NR,NR,Day(s),Not coded,21,,,C,,,,NR,,,,"Oda,S., N. Tatarazako, H. Watanabe, M. Morita, and T. Iguchi",Genetic Differences in the Production of Male Neonates in Daphnia magna Exposed to Juvenile Hormone Analogs,2006
61,1531,1245778,7646857,Zinc chloride (ZnCl2),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,6-7,Total,1.499146,1.05076506,1.64088344,AI mg/L,Mortality,Mortality,LC15,2.0,NR,NR,Day(s),Not coded,20*,,,C,,,,NR,7.4,,,"Shaw,J.R., T.D. Dempsey, C.Y. Chen, J.W. Hamilton, and C.L. Folt","Comparative Toxicity of Cadmium, Zinc, and Mixtures of Cadmium and Zinc to Daphnids",2006
63,1539,1118224,7646857,Zinc chloride (ZnCl2),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,NR,Total,47.7,NR,NR,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,,,,NR,,246*,255*,mg/L CaCO3,,7.5,9.1,"Gale,N.L., B.G. Wixson, and M. Erten","An Evaluation of the Acute Toxicity of Lead, Zinc, and Cadmium in Missouri Ozark Groundwater",1992
64,1542,1275392,7646857,Zinc chloride (ZnCl2),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Not reported,Fresh water,Lab,NR,Total,8.4,NR,NR,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,,,,NR,250*,,,mg/L CaCO3,7.9*,,,"Weltens,R., F. Vanderplaetse, C. Vangenechten, and T. Verhulst",Automated beta Galactosidase Activity Bioassay for Adult Daphnia magna Versus Classic Immobilization Test,2000
65,1543,1273537,7646857,Zinc chloride (ZnCl2),Not coded,Daphnia magna,Neonate,4,NR,NR,Day(s),Static,Fresh water,Lab,10,Total,9.6490488,8.17716,11.379881,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,20,,,C,2.5*,,,mmol/L CaCO3,7*,,,"Canli,M.",Dietary and Water-Borne Zn Exposures Affect Energy Reserves and Subsequent Zn Tolerance of Daphnia magna,2005
66,1544,1273533,7646857,Zinc chloride (ZnCl2),Not coded,Daphnia magna,Neonate,4,NR,NR,Day(s),Static,Fresh water,Lab,10,Total,6.8688144,5.9011838,7.9999882,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,20,,,C,2.5*,,,mmol/L CaCO3,7*,,,"Canli,M.",Dietary and Water-Borne Zn Exposures Affect Energy Reserves and Subsequent Zn Tolerance of Daphnia magna,2005
67,1545,1273867,7646857,Zinc chloride (ZnCl2),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,9,Total,0.8,0.7,0.9,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,20*,,,C,,,,NR,,,,"Diamantino,T.C., E. Almeida, A.M.V.M. Soares, and L. Guilhermino",Lactate Dehydrogenase Activity as an Effect Criterion in Toxicity Tests with Daphnia magna Straus,2001
68,1547,1273534,7646857,Zinc chloride (ZnCl2),Not coded,Daphnia magna,Neonate,4,NR,NR,Day(s),Static,Fresh water,Lab,10,Total,7.4003298,6.5144708,8.4088462,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,20,,,C,2.5*,,,mmol/L CaCO3,7*,,,"Canli,M.",Dietary and Water-Borne Zn Exposures Affect Energy Reserves and Subsequent Zn Tolerance of Daphnia magna,2005
69,1534,1118225,7646857,Zinc chloride (ZnCl2),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,NR,Dissolved,0.21,NR,NR,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,,,,NR,,246*,255*,mg/L CaCO3,,7.5,9.1,"Gale,N.L., B.G. Wixson, and M. Erten","An Evaluation of the Acute Toxicity of Lead, Zinc, and Cadmium in Missouri Ozark Groundwater",1992
71,1081,1269355,7440666,Zinc,Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7,Total,3.58,2.72,4.44,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,22,,,C,,190,200,mg/L CaCO3,,7.2,8.8,"Fisher,D.J., D.T. Burton, and R.L. Paulson",Acute Toxicity of a Complex Mixture of Synthetic Hexachloroethane (HC) Smoke Combustion Products: II. Determination of Component Toxicity,1990
73,1078,1269356,7440666,Zinc,Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7,Total,2.85,2.3,3.39,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,22,,,C,,190,200,mg/L CaCO3,,7.2,8.8,"Fisher,D.J., D.T. Burton, and R.L. Paulson",Acute Toxicity of a Complex Mixture of Synthetic Hexachloroethane (HC) Smoke Combustion Products: II. Determination of Component Toxicity,1990
74,463,1054598,1314621,Vanadium oxide (V2O5),Not coded,Daphnia magna,Neonate,12,NR,NR,Hour(s),Static,Fresh water,Lab,NR,Total,0.85,0.63,1.14,AI mg/L,Mortality,Mortality,LC50,4.0,NR,NR,Day(s),Not coded,20.1,,,C,,,,HARD,8.57,,,"Kimball,G.",The Effects of Lesser Known Metals and One Organic to Fathead Minnows (Pimephales promelas) and Daphnia magna,1978
75,461,1054597,1314621,Vanadium oxide (V2O5),Not coded,Daphnia magna,Neonate,12,NR,NR,Hour(s),Static,Fresh water,Lab,NR,Total,1.46,1.11,1.96,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,20.1,,,C,,,,HARD,8.57,,,"Kimball,G.",The Effects of Lesser Known Metals and One Organic to Fathead Minnows (Pimephales promelas) and Daphnia magna,1978
76,460,1054383,1314621,Vanadium oxide (V2O5),Not coded,Daphnia magna,Neonate,12,NR,NR,Hour(s),Static,Fresh water,Lab,NR,Total,1.03,0.76,1.41,AI mg/L,Mortality,Mortality,LC50,4.0,NR,NR,Day(s),Not coded,20.1,,,C,,,,HARD,8.57,,,"Kimball,G.",The Effects of Lesser Known Metals and One Organic to Fathead Minnows (Pimephales promelas) and Daphnia magna,1978
77,459,1054382,1314621,Vanadium oxide (V2O5),Not coded,Daphnia magna,Neonate,12,NR,NR,Hour(s),Static,Fresh water,Lab,NR,Total,1.58,NR,NR,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,20.1,,,C,,,,HARD,8.57,,,"Kimball,G.",The Effects of Lesser Known Metals and One Organic to Fathead Minnows (Pimephales promelas) and Daphnia magna,1978
78,458,1054633,1314621,Vanadium oxide (V2O5),Not coded,Daphnia magna,Neonate,12,NR,NR,Hour(s),Static,Fresh water,Lab,NR,Total,1.37,0.99,1.89,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,20.1,,,C,,,,NR,8.57,,,"Kimball,G.",The Effects of Lesser Known Metals and One Organic to Fathead Minnows (Pimephales promelas) and Daphnia magna,1978
79,457,1054381,1314621,Vanadium oxide (V2O5),Not coded,Daphnia magna,Neonate,12,NR,NR,Hour(s),Static,Fresh water,Lab,NR,Total,1.52,NR,NR,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,20.1,,,C,,,,HARD,8.57,,,"Kimball,G.",The Effects of Lesser Known Metals and One Organic to Fathead Minnows (Pimephales promelas) and Daphnia magna,1978
81,619,1286726,1461229,Tributylchlorostannane,Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,6,Total,0.00095,0.0007,0.0013,AI mg/L,Mortality,Mortality,LC50,1.0,NR,NR,Day(s),Not coded,20,,,C,,,,NR,,,,"Kungolos,A., S. Hadjispyrou, P. Samaras, M. Petala, V. Tsiridis, K. Aravossis, and G.P. Sakellaropoulos",Assessment of Toxicity and Bioaccumulation of Organotin Compounds,2001
82,1745,1225383,7733020,"Sulfuric acid, Zinc salt (1:1)",Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Not reported,Fresh water,Lab,NR,Total,4.029,3.999,4.056,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,20,,,C,,,,NR,,,,"Guilhermino,L., T. Diamantino, M.C. Silva, and A.M.V.M. Soares",Acute Toxicity Test with Daphnia magna:  An Alternative to Mammals in the Prescreening of Chemical Toxicity?,2000
83,1739,1209326,7733020,"Sulfuric acid, Zinc salt (1:1)",Not coded,Daphnia magna,Neonate,NR,NR,NR,Not reported,Static,Fresh water,Lab,NR,Labile,0.636,0.527,0.767,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,20,,,C,179,,,mg/L CaCO3,8.07,,,"Barata,C., D.J. Baird, and S.J. Markich",Influence of Genetic and Environmental Factors on the Tolerance of Daphnia magna Straus to Essential and Non-Essential Metals,1998
84,1746,1209325,7733020,"Sulfuric acid, Zinc salt (1:1)",Not coded,Daphnia magna,Neonate,NR,NR,NR,Not reported,Static,Fresh water,Lab,NR,Labile,0.378,0.273,0.486,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,20,,,C,90.7,,,mg/L CaCO3,7.73,,,"Barata,C., D.J. Baird, and S.J. Markich",Influence of Genetic and Environmental Factors on the Tolerance of Daphnia magna Straus to Essential and Non-Essential Metals,1998
87,1694,1118232,7733020,"Sulfuric acid, Zinc salt (1:1)",Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,NR,Dissolved,0.62,NR,NR,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,,,,NR,,246*,255*,mg/L CaCO3,,7.5,9.1,"Gale,N.L., B.G. Wixson, and M. Erten","An Evaluation of the Acute Toxicity of Lead, Zinc, and Cadmium in Missouri Ozark Groundwater",1992
88,1738,1285029,7733020,"Sulfuric acid, Zinc salt (1:1)",Not coded,Daphnia magna,Neonate,NR,6,24,Hour(s),Renewal,Fresh water,Lab,8,Total,0.0218,0.0171,0.0319,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,20,,,C,115,,,mg/L CaCO3,8.23,,,"Bianchini,A., K.C. Bowles, C.J. Brauner, J.W. Gorsuch, J.R. Kramer, and C.M. Wood",Evaluation of the Effect of Reactive Sulfide on the Acute Toxicity of Silver (I) to Daphnia magna.  Part 2:  Toxicity Results,2002
89,1731,1298639,7733020,"Sulfuric acid, Zinc salt (1:1)",Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,NR,Dissolved,1.29,NR,NR,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,25,,,C,150,,,mg/L CaCO3,8.0*,,,"Yim,J.H., K.W. Kim, and S.D. Kim",Effect of Hardness on Acute Toxicity of Metal Mixtures Using Daphnia magna:  Prediction of Acid Mine Drainage Toxicity,2006
107,1699,1273293,7733020,"Sulfuric acid, Zinc salt (1:1)",Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7-19,Dissolved,0.62,NR,NR,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,,,,NR,,,,NR,,7.5,9.1,"Erten-Unal,M., B.G. Wixson, N. Gale, and J.L. Pitt","Evaluation of Toxicity, Bioavailability and Speciation of Lead, Zinc and Cadmium in Mine/Mill Wastewaters",1998
108,1729,1209322,7733020,"Sulfuric acid, Zinc salt (1:1)",Not coded,Daphnia magna,Neonate,NR,NR,NR,Not reported,Static,Fresh water,Lab,NR,Labile,0.239,0.186,0.269,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,20,,,C,46.1,,,mg/L CaCO3,7.2,,,"Barata,C., D.J. Baird, and S.J. Markich",Influence of Genetic and Environmental Factors on the Tolerance of Daphnia magna Straus to Essential and Non-Essential Metals,1998
109,1701,1225382,7733020,"Sulfuric acid, Zinc salt (1:1)",Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Not reported,Fresh water,Lab,NR,Total,35.403,28.36,44.192,AI mg/L,Mortality,Mortality,LC50,1.0,NR,NR,Day(s),Not coded,20,,,C,,,,NR,,,,"Guilhermino,L., T. Diamantino, M.C. Silva, and A.M.V.M. Soares",Acute Toxicity Test with Daphnia magna:  An Alternative to Mammals in the Prescreening of Chemical Toxicity?,2000
110,1724,1297883,7733020,"Sulfuric acid, Zinc salt (1:1)",Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,NR,Dissolved,0.3,NR,NR,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,25,,,C,44,,,mg/L CaCO3,7.8,,,"Yim,J.H., K.W. Kim, and S.D. Kim",Effect of Hardness on Acute Toxicity of Metal Mixtures Using Daphnia magna:  Prediction of Acid Mine Drainage Toxicity,2006
111,1706,1209323,7733020,"Sulfuric acid, Zinc salt (1:1)",Not coded,Daphnia magna,Neonate,NR,NR,NR,Not reported,Static,Fresh water,Lab,NR,Labile,0.121,0.0964,0.155,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,20,,,C,46.1,,,mg/L CaCO3,7.2,,,"Barata,C., D.J. Baird, and S.J. Markich",Influence of Genetic and Environmental Factors on the Tolerance of Daphnia magna Straus to Essential and Non-Essential Metals,1998
112,1688,1209327,7733020,"Sulfuric acid, Zinc salt (1:1)",Not coded,Daphnia magna,Neonate,NR,NR,NR,Not reported,Static,Fresh water,Lab,NR,Labile,0.397,0.333,0.487,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,20,,,C,179,,,mg/L CaCO3,8.07,,,"Barata,C., D.J. Baird, and S.J. Markich",Influence of Genetic and Environmental Factors on the Tolerance of Daphnia magna Straus to Essential and Non-Essential Metals,1998
113,1719,1209324,7733020,"Sulfuric acid, Zinc salt (1:1)",Not coded,Daphnia magna,Neonate,NR,NR,NR,Not reported,Static,Fresh water,Lab,NR,Labile,0.878,0.762,1.01,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,20,,,C,90.7,,,mg/L CaCO3,7.73,,,"Barata,C., D.J. Baird, and S.J. Markich",Influence of Genetic and Environmental Factors on the Tolerance of Daphnia magna Straus to Essential and Non-Essential Metals,1998
114,1708,1118231,7733020,"Sulfuric acid, Zinc salt (1:1)",Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,NR,Total,29.4,NR,NR,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,,,,NR,,246*,255*,mg/L CaCO3,,7.5,9.1,"Gale,N.L., B.G. Wixson, and M. Erten","An Evaluation of the Acute Toxicity of Lead, Zinc, and Cadmium in Missouri Ozark Groundwater",1992
115,2744,1054447,7785877,"Sulfuric acid, Manganese(2+) salt (1:1)",Not coded,Daphnia magna,Neonate,12,NR,NR,Hour(s),Static,Fresh water,Lab,NR,Total,16,12,20.9,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,20.3,,,C,,,,HARD,8.30,,,"Kimball,G.",The Effects of Lesser Known Metals and One Organic to Fathead Minnows (Pimephales promelas) and Daphnia magna,1978
