CAS Number,Chemical Name,Chemical Grade,Chemical Analysis,Chemical Purity,Species Scientific Name,Species Common Name,Species Group,Organism Lifestage,Organism Age,Age Units,Exposure Type,Media Type,Test Location,Number of Doses,Conc 1 Type (Standardized),Conc 1 (Standardized),Conc 1 Units (Standardized),Effect,Effect Measurement,Endpoint,Response Site,Observed Duration (Days),Observed Duration Units (Days),Author,Reference Number,Title,Source,Publication Year,Summary of Additional Parameters
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]","Technical grade, technical product, technical formulation",Unmeasured,99,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Neonate,<24,Hour(s),Static,Fresh water,Lab,NR,Active ingredient,0.0009,AI mg/L,Mortality,Mortality,LC50,Not reported,2,Day(s),"Brausch,J.M., and P.N. Smith",117583,Development of Resistance to Cyfluthrin and Naphthalene Among Daphnia magna,Ecotoxicology18(5): 600-609,2009,Purity:   NR - NR | Organism Age:   NR - NR Hour(s) | Conc 1 (Author):   Active ingredient NR - NR AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Unmeasured,NR,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,<24,Hour(s),Static,Fresh water,Lab,NR,Formulation,0.009,AI mg/L,Mortality,Mortality,LC50,Not reported,1,Day(s),"Gaaboub,I.A., F.M. El-Gayar, and E.M. Helal",15291,Comparative Bioassay Studies on Larvae of Culex pipiens and the Microcrustacean Daphnia magna,Bull. Entomol. Soc. Egypt9:77-84,1975,Purity:   NR - NR | Organism Age:   NR - NR Hour(s) | Conc 1 (Author):   Formulation 0.0033 - 0.0248 AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Unmeasured,NR,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,NR,Hour(s),Static,Fresh water,Lab,NR,Formulation,0.19,AI mg/L,Mortality,Mortality,LC50,Not reported,1,Day(s),"Gaaboub,I.A., I.A. Rawash, H.K. Badawy, and N.A. Bayomi",15292,"Comparison Between the Use of Gambusia affinis Baird and Girard, Mosquito Larvae of Culex pipiens L. and the Microcrustacean Daphnia magna Straus",Proc. 4th Arab Pestic. Conf. Tanta Univ.1:213-227,1981,Purity:   NR - NR | Organism Age:   2 - 26 Hour(s) | Conc 1 (Author):   Formulation 0.049 - 0.7 AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Unmeasured,NR,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,NR,Not reported,Not reported,Fresh water,Lab,NR,Formulation,0.003,AI mg/L,Mortality,Mortality,LC50,Not reported,4,Day(s),"Knapek,R., and S. Lakota",6270,Biological Testing to Determine Toxic Effects of Pesticides in Water (Einige Biotests zur Untersuchung der Toxischen Wirkung von Pestiziden im Wasser),Tagungsber. Akad. Landwirtschaftswiss. DDR126:105-109,1974,Purity:   NR - NR | Organism Age:   NR - NR Not reported | Conc 1 (Author):   Formulation NR - NR AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Not reported,NR,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,NR,Not reported,Not reported,Fresh water,Lab,NR,Formulation,0.012,AI mg/L,Mortality,Mortality,LC50,Not reported,2,Day(s),"Malacea,I.",16933,Contribution to Study of Detox and Heclotox Insecticides Toxic Action on Certain Fish Species and on Daphnia,Stud. Prot. Calitatii Apelor8:95-133,1967,Purity:   NR - NR | Organism Age:   NR - NR Not reported | Conc 1 (Author):   Formulation NR - NR AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Not reported,3,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,NR,Not reported,Not reported,Fresh water,Lab,NR,Formulation,125,AI mg/L,Mortality,Mortality,LC50,Not reported,2,Day(s),"Malacea,I.",16933,Contribution to Study of Detox and Heclotox Insecticides Toxic Action on Certain Fish Species and on Daphnia,Stud. Prot. Calitatii Apelor8:95-133,1967,Purity:   NR - NR | Organism Age:   NR - NR Not reported | Conc 1 (Author):   Formulation NR - NR AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Unmeasured,NR,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,NR,Not reported,Aquatic - not reported,Fresh water,Lab,NR,Formulation,0.00266,AI mg/L,Mortality,Mortality,LC50,Not reported,2,Day(s),Great Lakes Chemical Corp.,180436,Acute Toxicity of FMBP4A (Tetrabromobisphenol A) to the Water Flea Daphnia magna Straus,EPA/OTS 878216112:11 p.,1985,Purity:   NR - NR | Organism Age:   NR - NR Not reported | Conc 1 (Author):   Formulation 0.00196 - 0.0036 AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Standard,Unmeasured,>99,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,12,Hour(s),Renewal,Fresh water,Lab,NR,Active ingredient,0.00067,AI mg/L,Mortality,Mortality,LC50,Not reported,14,Day(s),"Maki,A.W., and H.E. Johnson",5525,"Effects of PCB (Aroclor 1254) and p,p'-DDT on Production and Survival of Daphnia magna Strauss",Bull. Environ. Contam. Toxicol.13(4): 412-416,1975,Purity:   NR - NR | Organism Age:   NR - NR Hour(s) | Conc 1 (Author):   Active ingredient 0.00065 - 0.00069 AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Not reported,3,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,NR,Not reported,Not reported,Fresh water,Lab,NR,Formulation,4.37,AI mg/L,Mortality,Mortality,LC50,Not reported,2,Day(s),"Malacea,I.",16933,Contribution to Study of Detox and Heclotox Insecticides Toxic Action on Certain Fish Species and on Daphnia,Stud. Prot. Calitatii Apelor8:95-133,1967,Purity:   NR - NR | Organism Age:   NR - NR Not reported | Conc 1 (Author):   Formulation NR - NR AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Not reported,3,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,NR,Not reported,Not reported,Fresh water,Lab,NR,Formulation,0.002,AI mg/L,Mortality,Mortality,LC50,Not reported,2,Day(s),"Malacea,I.",16933,Contribution to Study of Detox and Heclotox Insecticides Toxic Action on Certain Fish Species and on Daphnia,Stud. Prot. Calitatii Apelor8:95-133,1967,Purity:   NR - NR | Organism Age:   NR - NR Not reported | Conc 1 (Author):   Formulation NR - NR AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Not reported,NR,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,NR,Not reported,Not reported,Fresh water,Lab,NR,Formulation,0.003,AI mg/L,Mortality,Mortality,LC50,Not reported,2,Day(s),"Malacea,I.",16933,Contribution to Study of Detox and Heclotox Insecticides Toxic Action on Certain Fish Species and on Daphnia,Stud. Prot. Calitatii Apelor8:95-133,1967,Purity:   NR - NR | Organism Age:   NR - NR Not reported | Conc 1 (Author):   Formulation NR - NR AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Unmeasured,NR,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,NR,Not reported,Static,Fresh water,Lab,NR,Formulation,0.00266,AI mg/L,Mortality,Mortality,LC50,Not reported,2,Day(s),"Vilkas,A.",13007,"Acute Toxicity of Diazinon Technical to the Water Flea, Daphnia magna Straus",U.S.EPA-OPP Registration Standard:,1976,Purity:   NR - NR | Organism Age:   NR - NR Not reported | Conc 1 (Author):   Formulation 0.00196 - 0.0036 AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Not reported,3,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,NR,Not reported,Not reported,Fresh water,Lab,NR,Formulation,0.06,AI mg/L,Mortality,Mortality,LC50,Not reported,2,Day(s),"Malacea,I.",16933,Contribution to Study of Detox and Heclotox Insecticides Toxic Action on Certain Fish Species and on Daphnia,Stud. Prot. Calitatii Apelor8:95-133,1967,Purity:   NR - NR | Organism Age:   NR - NR Not reported | Conc 1 (Author):   Formulation NR - NR AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Not reported,3,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,NR,Not reported,Not reported,Fresh water,Lab,NR,Formulation,0.043,AI mg/L,Mortality,Mortality,LC50,Not reported,2,Day(s),"Malacea,I.",16933,Contribution to Study of Detox and Heclotox Insecticides Toxic Action on Certain Fish Species and on Daphnia,Stud. Prot. Calitatii Apelor8:95-133,1967,Purity:   NR - NR | Organism Age:   NR - NR Not reported | Conc 1 (Author):   Formulation NR - NR AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Not reported,3,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,NR,Not reported,Not reported,Fresh water,Lab,NR,Formulation,1,AI mg/L,Mortality,Mortality,LC50,Not reported,2,Day(s),"Malacea,I.",16933,Contribution to Study of Detox and Heclotox Insecticides Toxic Action on Certain Fish Species and on Daphnia,Stud. Prot. Calitatii Apelor8:95-133,1967,Purity:   NR - NR | Organism Age:   NR - NR Not reported | Conc 1 (Author):   Formulation NR - NR AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Unmeasured,NR,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Larva,<24,Hour(s),Renewal,Fresh water,Lab,NR,Formulation,0.0044,AI mg/L,Mortality,Mortality,LC50*,Not reported,1.0833,Day(s),"Frear,D.E.H., and J.E. Boyd",2820,Use of Daphnia magna for the Microbioassay of Pesticides. I. Development of Standardized Techniques for Rearing Daphnia and Preparation of Dosage-Mortality Curves for Pesticides,J. Econ. Entomol.60(5): 1228-1236,1967,Purity:   NR - NR | Organism Age:   NR - NR Hour(s) | Conc 1 (Author):   Formulation NR - NR AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]","Technical grade, technical product, technical formulation",Unmeasured,99,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Neonate,<24,Hour(s),Static,Fresh water,Lab,NR,Active ingredient,0.0019,AI mg/L,Mortality,Mortality,LC50,Not reported,2,Day(s),"Brausch,J.M., and P.N. Smith",117583,Development of Resistance to Cyfluthrin and Naphthalene Among Daphnia magna,Ecotoxicology18(5): 600-609,2009,Purity:   NR - NR | Organism Age:   NR - NR Hour(s) | Conc 1 (Author):   Active ingredient NR - NR AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
50328,Benzo[a]pyrene,Not reported,Unmeasured,97,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Neonate,<24,Hour(s),Not reported,Fresh water,Lab,6,Active ingredient,0.000981507,AI mg/L,Mortality,Survival,EC50,Not reported,2,Day(s),"Lampi,M.A., J. Gurska, K.I.C. McDonald, F. Xie, X.D. Huang, D.G. Dixon, and B.M. Greenberg",86087,Photoinduced Toxicity of Polycyclic Aromatic Hydrocarbons to Daphnia magna: Ultraviolet-Mediated Effects and the Toxicity of Polycyclic Aromatic Hydrocarbon Photoproducts,Environ. Toxicol. Chem.25(4): 1079-1087,2005,Purity:   NR - NR | Organism Age:   NR - NR Hour(s) | Conc 1 (Author):   Active ingredient NR - NR AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
50328,Benzo[a]pyrene,Not reported,Unmeasured,97,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Neonate,<24,Hour(s),Not reported,Fresh water,Lab,6,Active ingredient,0.001624911,AI mg/L,Mortality,Survival,EC50,Not reported,2,Day(s),"Lampi,M.A., J. Gurska, K.I.C. McDonald, F. Xie, X.D. Huang, D.G. Dixon, and B.M. Greenberg",86087,Photoinduced Toxicity of Polycyclic Aromatic Hydrocarbons to Daphnia magna: Ultraviolet-Mediated Effects and the Toxicity of Polycyclic Aromatic Hydrocarbon Photoproducts,Environ. Toxicol. Chem.25(4): 1079-1087,2005,Purity:   NR - NR | Organism Age:   NR - NR Hour(s) | Conc 1 (Author):   Active ingredient NR - NR AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
50328,Benzo[a]pyrene,Not reported,Unmeasured,NR,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Neonate,<48,Hour(s),Not reported,Fresh water,Lab,NR,Formulation,0.25,AI mg/L,Mortality,Survival,LC50,Not reported,2,Day(s),"Atienzar,F.A., M. Conradi, A.J. Evenden, A.N. Jha, and M.H. Depledge",20485,Qualitative Assessment of Genotoxicity Using Random Amplified Polymorphic DNA: Comparison of Genomic Template Stability with Key Fitness Parameters in Daphnia magna Exposed to Benzo(a)pyrene,Environ. Toxicol. Chem.18(10): 2275-2282,1999,Purity:   NR - NR | Organism Age:   NR - NR Hour(s) | Conc 1 (Author):   Formulation NR - NR AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
51036,"5-[[2-(2-Butoxyethoxy)ethoxy]methyl]-6-propyl-1,3-benzodioxole",Not reported,Chemical analysis reported,NR,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,NR,Not reported,Renewal,Fresh water,Lab,7,Active ingredient,0.514,AI mg/L,Reproduction,Fecundity,EC50,Not reported,2,Generation,"Campos,B., R. Jordao, C. Rivetti, M.F.L. Lemos, A.M.V.M. Soares, R. Tauler, and C. Barata",173962,Two-Generational Effects of Contaminants in Daphnia magna: Effects of Offspring Quality,Environ. Toxicol. Chem.35(6): 1470-1477,2016,Purity:   NR - NR | Organism Age:   NR - NR Not reported | Conc 1 (Author):   Active ingredient NR - NR AI mg/L | Duration (Days):   NR - NR Generation | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
51036,"5-[[2-(2-Butoxyethoxy)ethoxy]methyl]-6-propyl-1,3-benzodioxole",Not reported,Chemical analysis reported,NR,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,NR,Not reported,Renewal,Fresh water,Lab,7,Active ingredient,0.339,AI mg/L,Reproduction,Fecundity,EC50,Not reported,2,Generation,"Campos,B., R. Jordao, C. Rivetti, M.F.L. Lemos, A.M.V.M. Soares, R. Tauler, and C. Barata",173962,Two-Generational Effects of Contaminants in Daphnia magna: Effects of Offspring Quality,Environ. Toxicol. Chem.35(6): 1470-1477,2016,Purity:   NR - NR | Organism Age:   NR - NR Not reported | Conc 1 (Author):   Active ingredient NR - NR AI mg/L | Duration (Days):   NR - NR Generation | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
51036,"5-[[2-(2-Butoxyethoxy)ethoxy]methyl]-6-propyl-1,3-benzodioxole",Not reported,Unmeasured,90,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,<=48,Hour(s),Static,Fresh water,Lab,NR,Active ingredient,2.83,AI mg/L,Mortality,Mortality,LC50,Not reported,2,Day(s),"Ankley,G.T., J.R. Dierkes, D.A. Jensen, and G.S. Peterson",821,Piperonyl Butoxide as a Tool in Aquatic Toxicological Research with Organophosphate Insecticides,Ecotoxicol. Environ. Saf.21(3): 266-274,1991,Purity:   NR - NR | Organism Age:   NR - NR Hour(s) | Conc 1 (Author):   Active ingredient NR - NR AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
51036,"5-[[2-(2-Butoxyethoxy)ethoxy]methyl]-6-propyl-1,3-benzodioxole",Not reported,Unmeasured,NR,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Neonate,<24,Hour(s),Static,Fresh water,Lab,NR,Formulation,1.06,AI mg/L,Mortality,Mortality,LC50,Not reported,2,Day(s),"Brausch,J.M., and P.N. Smith",117583,Development of Resistance to Cyfluthrin and Naphthalene Among Daphnia magna,Ecotoxicology18(5): 600-609,2009,Purity:   NR - NR | Organism Age:   NR - NR Hour(s) | Conc 1 (Author):   Formulation NR - NR AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
51285,"2,4-Dinitrophenol",Not reported,Unmeasured,NR,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,12,Hour(s),Aquatic - not reported,Fresh water,Lab,4,Formulation,4.71316992,AI mg/L,Mortality,Mortality,LC50,Not reported,2,Day(s),"Kopperman,H.L., R.M. Carlson, and R. Caple",2120,Aqueous Chlorination and Ozonation Studies. I. Structure-Toxicity Correlations of Phenolic Compounds to Daphnia magna,Chem.-Biol. Interact.9(4): 245-251,1974,Purity:   NR - NR | Organism Age:   NR - NR Hour(s) | Conc 1 (Author):   Formulation NR - NR AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
