,index,Test Number,CAS Number,Chemical Name,Test Method,Species Scientific Name,Organism Lifestage,Organism Age Mean,Organism Age Min,Organism Age Max,Age Units,Exposure Type,Media Type,Test Location,Number of Doses,Conc 1 Type (Standardized),Conc 1 Mean (Standardized),Conc 1 Min (Standardized),Conc 1 Max (Standardized),Conc 1 Units (Standardized),Effect,Effect Measurement,Endpoint,Observed Duration Mean (Days),Observed Duration Min (Days),Observed Duration Max (Days),Observed Duration Units (Days),Test Type,Temperature Mean,Temperature Min,Temperature Max,Temperature Units,Hardness Mean,Hardness Min,Hardness Max,Hardness Units,pH Mean,pH Min,pH Max,Author,Title,Publication Year
36,1478,1267065,7646857,Zinc chloride (ZnCl2),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,2,Total,NR,0.6,0.8,AI mg/L,Intoxication,Immobile,EC50,2.0,NR,NR,Day(s),Not coded,20,,,C,180,,,mg/L,7.8,,,"Muyssen,B.T.A., and C.R. Janssen",Importance of Acclimation to Environmentally Relevant Zinc Concentrations on the Sensitivity of Daphnia magna Toward Zinc,2005
40,1490,1267066,7646857,Zinc chloride (ZnCl2),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,2,Total,NR,0.6,0.8,AI mg/L,Intoxication,Immobile,EC50,2.0,NR,NR,Day(s),Not coded,20,,,C,180,,,mg/L,7.8,,,"Muyssen,B.T.A., and C.R. Janssen",Importance of Acclimation to Environmentally Relevant Zinc Concentrations on the Sensitivity of Daphnia magna Toward Zinc,2005
49,1500,1267063,7646857,Zinc chloride (ZnCl2),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,2,Total,NR,0.6,0.8,AI mg/L,Intoxication,Immobile,EC50,2.0,NR,NR,Day(s),Not coded,20,,,C,180,,,mg/L,7.8,,,"Muyssen,B.T.A., and C.R. Janssen",Importance of Acclimation to Environmentally Relevant Zinc Concentrations on the Sensitivity of Daphnia magna Toward Zinc,2005
54,1515,1267064,7646857,Zinc chloride (ZnCl2),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,2,Total,NR,0.6,0.8,AI mg/L,Intoxication,Immobile,EC50,2.0,NR,NR,Day(s),Not coded,20,,,C,180,,,mg/L,7.8,,,"Muyssen,B.T.A., and C.R. Janssen",Importance of Acclimation to Environmentally Relevant Zinc Concentrations on the Sensitivity of Daphnia magna Toward Zinc,2005
57,1521,1267058,7646857,Zinc chloride (ZnCl2),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,2,Total,NR,0.6,0.8,AI mg/L,Intoxication,Immobile,EC50,2.0,NR,NR,Day(s),Not coded,20,,,C,180,,,mg/L,7.8,,,"Muyssen,B.T.A., and C.R. Janssen",Importance of Acclimation to Environmentally Relevant Zinc Concentrations on the Sensitivity of Daphnia magna Toward Zinc,2005
58,1524,1267062,7646857,Zinc chloride (ZnCl2),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,2,Total,NR,0.6,0.8,AI mg/L,Intoxication,Immobile,EC50,2.0,NR,NR,Day(s),Not coded,20,,,C,180,,,mg/L,7.8,,,"Muyssen,B.T.A., and C.R. Janssen",Importance of Acclimation to Environmentally Relevant Zinc Concentrations on the Sensitivity of Daphnia magna Toward Zinc,2005
60,1528,1267031,7646857,Zinc chloride (ZnCl2),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,2,Total,NR,0.6,0.8,AI mg/L,Intoxication,Immobile,EC50,2.0,NR,NR,Day(s),Not coded,20,,,C,180,,,mg/L,7.8,,,"Muyssen,B.T.A., and C.R. Janssen",Importance of Acclimation to Environmentally Relevant Zinc Concentrations on the Sensitivity of Daphnia magna Toward Zinc,2005
72,1063,2147714,7440666,Zinc,United States Environmental Protection Agency,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,12,Total,0.696,0.331,1.758,AI mg/L,Intoxication,Immobile,EC50,2.0,NR,NR,Day(s),Acute,20*,,,C,,80*,100*,mg/L CaCO3,,7.4*,7.8*,"Meyer,J.S., J.F. Ranville, M. Pontasch, J.W. Gorsuch, and W.J. Adams","Acute Toxicity of Binary and Ternary Mixtures of Cd, Cu, and Zn to Daphnia magna",2015
80,407,2020587,688733,Tributylstannane,European Economic Community,Daphnia magna,Neonate,NR,NR,NR,Not reported,Static,Fresh water,Lab,NR,Total,0.000000001,NR,NR,AI mg/L,Intoxication,Immobile,EC50,2.0,NR,NR,Day(s),Acute,20,,,C,,,,NR,,,,"Hernando,M.D., A.R. Fernandez-Alba, R. Tauler, and D. Barcelo",Toxicity Assays Applied to Wastewater Treatment,2005
86,1697,1296277,7733020,"Sulfuric acid, Zinc salt (1:1)",Not coded,Daphnia magna,Neonate,NR,NR,NR,Not reported,Static,Fresh water,Lab,6,Total,1.4,NR,NR,AI mg/L,Intoxication,Immobile,LC50,2.0,NR,NR,Day(s),Not coded,20,,,C,,,,NR,,7.3,7.8,"Heinlaan,M., A. Ivask, I. Blinova, H.C. Dubourguier, and A. Kahru","Toxicity of Nanosized and Bulk ZnO, CuO and TiO2 to Bacteria Vibrio fischeri and Crustaceans Daphnia magna and Thamnocephalus platyurus",2008
90,1629,1206777,7733020,"Sulfuric acid, Zinc salt (1:1)",Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,NR,Total,0.699,0.538,0.908,AI mg/L,Intoxication,Immobile,EC50,2.0,NR,NR,Day(s),Not coded,20,,,C,,,,NR,,7.4,8.5,"Guilhermino,L., T.C. Diamantino, R. Ribeiro, F. Goncalves, and A.M.V.M. Soares",Suitability of Test Media Containing EDTA for the Evaluation of Acute Metal Toxicity to Daphnia magna Straus,1997
91,1630,1206779,7733020,"Sulfuric acid, Zinc salt (1:1)",Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,NR,Total,0.916,0.909,0.923,AI mg/L,Intoxication,Immobile,EC50,2.0,NR,NR,Day(s),Not coded,20,,,C,,,,NR,,7.4,8.5,"Guilhermino,L., T.C. Diamantino, R. Ribeiro, F. Goncalves, and A.M.V.M. Soares",Suitability of Test Media Containing EDTA for the Evaluation of Acute Metal Toxicity to Daphnia magna Straus,1997
92,1647,1040042,7733020,"Sulfuric acid, Zinc salt (1:1)",Not coded,Daphnia magna,Neonate,NR,NR,NR,Not reported,Static,Fresh water,Lab,NR,Total,0.7555,NR,NR,AI mg/L,Intoxication,Immobile,EC50,2.0,NR,NR,Day(s),Not coded,,,,NR,,,,HARD,,,,"Baird,D.J., I. Barber, M. Bradley, A.M.V.M. Soares, and P. Calow",A Comparative Study of Genotype Sensitivity to Acute Toxic Stress Using Clones of Daphnia magna Straus,1991
93,1687,1296239,7733020,"Sulfuric acid, Zinc salt (1:1)",Not coded,Daphnia magna,Neonate,NR,NR,NR,Not reported,Static,Fresh water,Lab,6,Total,1.2,NR,NR,AI mg/L,Intoxication,Immobile,LC20,2.0,NR,NR,Day(s),Not coded,20,,,C,,,,NR,,7.3,7.8,"Heinlaan,M., A. Ivask, I. Blinova, H.C. Dubourguier, and A. Kahru","Toxicity of Nanosized and Bulk ZnO, CuO and TiO2 to Bacteria Vibrio fischeri and Crustaceans Daphnia magna and Thamnocephalus platyurus",2008
94,1660,1206778,7733020,"Sulfuric acid, Zinc salt (1:1)",Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,NR,Total,8.048,6.447,10.046,AI mg/L,Intoxication,Immobile,EC50,1.0,NR,NR,Day(s),Not coded,20,,,C,,,,NR,,7.4,8.5,"Guilhermino,L., T.C. Diamantino, R. Ribeiro, F. Goncalves, and A.M.V.M. Soares",Suitability of Test Media Containing EDTA for the Evaluation of Acute Metal Toxicity to Daphnia magna Straus,1997
95,1659,1083015,7733020,"Sulfuric acid, Zinc salt (1:1)",Not coded,Daphnia magna,Neonate,NR,NR,NR,Not reported,Static,Fresh water,Lab,NR,Total,0.742,NR,NR,AI mg/L,Intoxication,Immobile,EC50,2.0,NR,NR,Day(s),Not coded,20*,,,C,,,,NR,,,,"Stuhlbacher,A., M.C. Bradley, C. Naylor, and P. Calow",Induction of Cadmium Tolerance in Two Clones of Dapnia magna Straus,1992
96,1657,1206781,7733020,"Sulfuric acid, Zinc salt (1:1)",Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,NR,Total,1.263,0.938,1.701,AI mg/L,Intoxication,Immobile,EC50,2.0,NR,NR,Day(s),Not coded,20,,,C,,,,NR,,7.4,8.5,"Guilhermino,L., T.C. Diamantino, R. Ribeiro, F. Goncalves, and A.M.V.M. Soares",Suitability of Test Media Containing EDTA for the Evaluation of Acute Metal Toxicity to Daphnia magna Straus,1997
97,1656,1206780,7733020,"Sulfuric acid, Zinc salt (1:1)",Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,NR,Total,7.325,6.137,8.743,AI mg/L,Intoxication,Immobile,EC50,1.0,NR,NR,Day(s),Not coded,20,,,C,,,,NR,,7.4,8.5,"Guilhermino,L., T.C. Diamantino, R. Ribeiro, F. Goncalves, and A.M.V.M. Soares",Suitability of Test Media Containing EDTA for the Evaluation of Acute Metal Toxicity to Daphnia magna Straus,1997
99,1646,1040041,7733020,"Sulfuric acid, Zinc salt (1:1)",Not coded,Daphnia magna,Neonate,NR,NR,NR,Not reported,Static,Fresh water,Lab,NR,Total,1.831,NR,NR,AI mg/L,Intoxication,Immobile,EC50,2.0,NR,NR,Day(s),Not coded,,,,NR,,,,HARD,,,,"Baird,D.J., I. Barber, M. Bradley, A.M.V.M. Soares, and P. Calow",A Comparative Study of Genotype Sensitivity to Acute Toxic Stress Using Clones of Daphnia magna Straus,1991
100,1631,1040045,7733020,"Sulfuric acid, Zinc salt (1:1)",Not coded,Daphnia magna,Neonate,NR,NR,NR,Not reported,Static,Fresh water,Lab,NR,Total,0.9864,NR,NR,AI mg/L,Intoxication,Immobile,EC50,2.0,NR,NR,Day(s),Not coded,,,,NR,,,,HARD,,,,"Baird,D.J., I. Barber, M. Bradley, A.M.V.M. Soares, and P. Calow",A Comparative Study of Genotype Sensitivity to Acute Toxic Stress Using Clones of Daphnia magna Straus,1991
101,1644,1040046,7733020,"Sulfuric acid, Zinc salt (1:1)",Not coded,Daphnia magna,Neonate,NR,NR,NR,Not reported,Static,Fresh water,Lab,NR,Total,0.7981,NR,NR,AI mg/L,Intoxication,Immobile,EC50,2.0,NR,NR,Day(s),Not coded,,,,NR,,,,HARD,,,,"Baird,D.J., I. Barber, M. Bradley, A.M.V.M. Soares, and P. Calow",A Comparative Study of Genotype Sensitivity to Acute Toxic Stress Using Clones of Daphnia magna Straus,1991
102,1639,1040044,7733020,"Sulfuric acid, Zinc salt (1:1)",Not coded,Daphnia magna,Neonate,NR,NR,NR,Not reported,Static,Fresh water,Lab,NR,Total,0.8621,NR,NR,AI mg/L,Intoxication,Immobile,EC50,2.0,NR,NR,Day(s),Not coded,,,,NR,,,,HARD,,,,"Baird,D.J., I. Barber, M. Bradley, A.M.V.M. Soares, and P. Calow",A Comparative Study of Genotype Sensitivity to Acute Toxic Stress Using Clones of Daphnia magna Straus,1991
103,1638,1206776,7733020,"Sulfuric acid, Zinc salt (1:1)",Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,NR,Total,3.665,2.765,4.858,AI mg/L,Intoxication,Immobile,EC50,1.0,NR,NR,Day(s),Not coded,20,,,C,,,,NR,,7.4,8.5,"Guilhermino,L., T.C. Diamantino, R. Ribeiro, F. Goncalves, and A.M.V.M. Soares",Suitability of Test Media Containing EDTA for the Evaluation of Acute Metal Toxicity to Daphnia magna Straus,1997
104,1637,1083016,7733020,"Sulfuric acid, Zinc salt (1:1)",Not coded,Daphnia magna,Neonate,NR,NR,NR,Not reported,Static,Fresh water,Lab,NR,Total,0.7014,NR,NR,AI mg/L,Intoxication,Immobile,EC50,2.0,NR,NR,Day(s),Not coded,20*,,,C,,,,NR,,,,"Stuhlbacher,A., M.C. Bradley, C. Naylor, and P. Calow",Induction of Cadmium Tolerance in Two Clones of Dapnia magna Straus,1992
105,1635,1040043,7733020,"Sulfuric acid, Zinc salt (1:1)",Not coded,Daphnia magna,Neonate,NR,NR,NR,Not reported,Static,Fresh water,Lab,NR,Total,0.7948,NR,NR,AI mg/L,Intoxication,Immobile,EC50,2.0,NR,NR,Day(s),Not coded,,,,NR,,,,HARD,,,,"Baird,D.J., I. Barber, M. Bradley, A.M.V.M. Soares, and P. Calow",A Comparative Study of Genotype Sensitivity to Acute Toxic Stress Using Clones of Daphnia magna Straus,1991
124,1621,1187595,7720787,"Sulfuric acid, Iron (2+) salt (1:1)",Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,NR,Total,14.468527,NR,NR,AI mg/L,Intoxication,Immobile,EC50,1.0,NR,NR,Day(s),Not coded,21,,,C,,,,NR,7.6*,,,"Lilius,H., B. Isomaa, and T. Holmstrom",A Comparison of the Toxicity of 50 Reference Chemicals to Freshly Isolated Rainbow Trout Hepatocytes and Daphnia magna,1994
141,3593,1188374,76930580,Sulfuric acid diammonium salt mixt. with diammonium hydrogen phosphate,Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,NR,Active ingredient,52.15,NR,NR,AI mg/L,Intoxication,Immobile,EC50,2.0,NR,NR,Day(s),Not coded,,,,NR,162*,,,mg/L CaCO3,,6.78,8.37,"McDonald,S.F., S.J. Hamilton, K.J. Buhl, and J.F. Heisinger",Acute Toxicity of Fire Control Chemicals to Daphnia magna (Straus) and Selenastrum capricornutum (Printz),1996
142,3594,1188387,76930580,Sulfuric acid diammonium salt mixt. with diammonium hydrogen phosphate,Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,NR,Active ingredient,51.95,NR,NR,AI mg/L,Intoxication,Immobile,EC50,2.0,NR,NR,Day(s),Not coded,,,,NR,42*,,,mg/L CaCO3,,6.91,7.97,"McDonald,S.F., S.J. Hamilton, K.J. Buhl, and J.F. Heisinger",Acute Toxicity of Fire Control Chemicals to Daphnia magna (Straus) and Selenastrum capricornutum (Printz),1996
143,3595,1188373,76930580,Sulfuric acid diammonium salt mixt. with diammonium hydrogen phosphate,Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,NR,Formulation,280,230,365,AI mg/L,Intoxication,Immobile,EC50,1.0,NR,NR,Day(s),Not coded,,,,NR,162*,,,mg/L CaCO3,,6.78,8.37,"McDonald,S.F., S.J. Hamilton, K.J. Buhl, and J.F. Heisinger",Acute Toxicity of Fire Control Chemicals to Daphnia magna (Straus) and Selenastrum capricornutum (Printz),1996
144,3596,1188389,76930580,Sulfuric acid diammonium salt mixt. with diammonium hydrogen phosphate,Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,NR,Active ingredient,81.11,NR,NR,AI mg/L,Intoxication,Immobile,EC50,2.0,NR,NR,Day(s),Not coded,,,,NR,162*,,,mg/L CaCO3,,6.78,8.37,"McDonald,S.F., S.J. Hamilton, K.J. Buhl, and J.F. Heisinger",Acute Toxicity of Fire Control Chemicals to Daphnia magna (Straus) and Selenastrum capricornutum (Printz),1996
145,3597,1188372,76930580,Sulfuric acid diammonium salt mixt. with diammonium hydrogen phosphate,Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,NR,Active ingredient,24.26,NR,NR,AI mg/L,Intoxication,Immobile,EC50,2.0,NR,NR,Day(s),Not coded,,,,NR,42*,,,mg/L CaCO3,,6.91,7.97,"McDonald,S.F., S.J. Hamilton, K.J. Buhl, and J.F. Heisinger",Acute Toxicity of Fire Control Chemicals to Daphnia magna (Straus) and Selenastrum capricornutum (Printz),1996
146,3598,1188386,76930580,Sulfuric acid diammonium salt mixt. with diammonium hydrogen phosphate,Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,NR,Formulation,780,NR,NR,AI mg/L,Intoxication,Immobile,EC50,1.0,NR,NR,Day(s),Not coded,,,,NR,42*,,,mg/L CaCO3,,6.91,7.97,"McDonald,S.F., S.J. Hamilton, K.J. Buhl, and J.F. Heisinger",Acute Toxicity of Fire Control Chemicals to Daphnia magna (Straus) and Selenastrum capricornutum (Printz),1996
147,3599,1188371,76930580,Sulfuric acid diammonium salt mixt. with diammonium hydrogen phosphate,Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,NR,Formulation,188,124,256,AI mg/L,Intoxication,Immobile,EC50,1.0,NR,NR,Day(s),Not coded,,,,NR,42*,,,mg/L CaCO3,,6.91,7.97,"McDonald,S.F., S.J. Hamilton, K.J. Buhl, and J.F. Heisinger",Acute Toxicity of Fire Control Chemicals to Daphnia magna (Straus) and Selenastrum capricornutum (Printz),1996
148,3600,1188388,76930580,Sulfuric acid diammonium salt mixt. with diammonium hydrogen phosphate,Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,NR,Formulation,780,NR,NR,AI mg/L,Intoxication,Immobile,EC50,1.0,NR,NR,Day(s),Not coded,,,,NR,162*,,,mg/L CaCO3,,6.78,8.37,"McDonald,S.F., S.J. Hamilton, K.J. Buhl, and J.F. Heisinger",Acute Toxicity of Fire Control Chemicals to Daphnia magna (Straus) and Selenastrum capricornutum (Printz),1996
152,1784,2146474,7758987,Sulfuric acid copper(2+) salt (1:1),Organization for Economic Cooperation and Development,Daphnia magna,Neonate,24,NR,NR,Hour(s),Aquatic - not reported,Fresh water,Lab,NR,Total,0.123,0.09,0.19,AI mg/L,Intoxication,Immobile,EC50,2.0,NR,NR,Day(s),Acute,20,,,C,,,,NR,,,,"Reboleira,A.S.P.S., N. Abrantes, P. Oromi, and F. Goncalves",Acute Toxicity of Copper Sulfate and Potassium Dichromate on Stygobiont Proasellus:  General Aspects of Groundwater Ecotoxicology and Future Perspectives,2013
153,1789,1206767,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,NR,Total,0.021,0.02093,0.02109,AI mg/L,Intoxication,Immobile,EC50,2.0,NR,NR,Day(s),Not coded,20,,,C,,,,NR,,7.4,8.5,"Guilhermino,L., T.C. Diamantino, R. Ribeiro, F. Goncalves, and A.M.V.M. Soares",Suitability of Test Media Containing EDTA for the Evaluation of Acute Metal Toxicity to Daphnia magna Straus,1997
154,1791,1040039,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,NR,NR,NR,Not reported,Static,Fresh water,Lab,NR,Total,0.0707,NR,NR,AI mg/L,Intoxication,Immobile,EC50,2.0,NR,NR,Day(s),Not coded,,,,NR,,,,HARD,,,,"Baird,D.J., I. Barber, M. Bradley, A.M.V.M. Soares, and P. Calow",A Comparative Study of Genotype Sensitivity to Acute Toxic Stress Using Clones of Daphnia magna Straus,1991
155,1793,1040036,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,NR,NR,NR,Not reported,Static,Fresh water,Lab,NR,Total,0.0105,NR,NR,AI mg/L,Intoxication,Immobile,EC50,2.0,NR,NR,Day(s),Not coded,,,,NR,,,,HARD,,,,"Baird,D.J., I. Barber, M. Bradley, A.M.V.M. Soares, and P. Calow",A Comparative Study of Genotype Sensitivity to Acute Toxic Stress Using Clones of Daphnia magna Straus,1991
156,1794,2143948,7758987,Sulfuric acid copper(2+) salt (1:1),Organization for Economic Cooperation and Development,Daphnia magna,Neonate,24,NR,NR,Hour(s),Aquatic - not reported,Fresh water,Lab,NR,Total,0.0238,0.0227,0.0249,AI mg/L,Intoxication,Immobile,EC50,2.0,NR,NR,Day(s),Acute,20,,,C,170*,,,mg/L CaCO3,,,,"Loureiro,C., B.B. Castro, J.L. Pereira, and F. Goncalves",Performance of Standard Media in Toxicological Assessments with Daphnia magna: Chelators and Ionic Composition Versus Metal Toxicity,2011
159,1805,1040038,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,NR,NR,NR,Not reported,Static,Fresh water,Lab,NR,Total,0.0173,NR,NR,AI mg/L,Intoxication,Immobile,EC50,2.0,NR,NR,Day(s),Not coded,,,,NR,,,,HARD,,,,"Baird,D.J., I. Barber, M. Bradley, A.M.V.M. Soares, and P. Calow",A Comparative Study of Genotype Sensitivity to Acute Toxic Stress Using Clones of Daphnia magna Straus,1991
162,1817,1206764,7758987,Sulfuric acid copper(2+) salt (1:1),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,NR,Total,0.1665,0.16589,0.16715,AI mg/L,Intoxication,Immobile,EC50,1.0,NR,NR,Day(s),Not coded,20,,,C,,,,NR,,7.4,8.5,"Guilhermino,L., T.C. Diamantino, R. Ribeiro, F. Goncalves, and A.M.V.M. Soares",Suitability of Test Media Containing EDTA for the Evaluation of Acute Metal Toxicity to Daphnia magna Straus,1997
184,1821,2143949,7758987,Sulfuric acid copper(2+) salt (1:1),Organization for Economic Cooperation and Development,Daphnia magna,Neonate,24,NR,NR,Hour(s),Aquatic - not reported,Fresh water,Lab,NR,Total,0.0147,0.0136,0.0159,AI mg/L,Intoxication,Immobile,EC50,2.0,NR,NR,Day(s),Acute,20,,,C,250*,,,mg/L CaCO3,,,,"Loureiro,C., B.B. Castro, J.L. Pereira, and F. Goncalves",Performance of Standard Media in Toxicological Assessments with Daphnia magna: Chelators and Ionic Composition Versus Metal Toxicity,2011
